A00	Vəba
W60.0.0	İdman məşğələləri zamanı
W60.0.1	Asudə vaxtda məşğələlər zamanı
W60.0.2	Gəlir əldə etmək üçün iş zamanı
W60.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.1.0	İdman məşğələləri zamanı
W60.1.1	Asudə vaxtda məşğələlər zamanı
W60.1.2	Gəlir əldə etmək üçün iş zamanı
W60.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.2.0	İdman məşğələləri zamanı
W60.2.1	Asudə vaxtda məşğələlər zamanı
W60.2.2	Gəlir əldə etmək üçün iş zamanı
W60.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.3.0	İdman məşğələləri zamanı
W60.3.1	Asudə vaxtda məşğələlər zamanı
W60.3.2	Gəlir əldə etmək üçün iş zamanı
W60.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.4.0	İdman məşğələləri zamanı
W60.4.1	Asudə vaxtda məşğələlər zamanı
W60.4.2	Gəlir əldə etmək üçün iş zamanı
W60.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.5.0	İdman məşğələləri zamanı
W60.5.1	Asudə vaxtda məşğələlər zamanı
W60.5.2	Gəlir əldə etmək üçün iş zamanı
W60.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.6.0	İdman məşğələləri zamanı
W60.6.1	Asudə vaxtda məşğələlər zamanı
W60.6.2	Gəlir əldə etmək üçün iş zamanı
W60.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.7.0	İdman məşğələləri zamanı
W60.7.1	Asudə vaxtda məşğələlər zamanı
W60.7.2	Gəlir əldə etmək üçün iş zamanı
W60.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.8.0	İdman məşğələləri zamanı
W60.8.1	Asudə vaxtda məşğələlər zamanı
W60.8.2	Gəlir əldə etmək üçün iş zamanı
W60.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W60.9.0	İdman məşğələləri zamanı
W60.9.1	Asudə vaxtda məşğələlər zamanı
W60.9.2	Gəlir əldə etmək üçün iş zamanı
W60.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W60.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W60.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W60.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64	Digər və dəqiqləşdirilməmiş canlı mexaniki qüvvələrin təsiri
W64.0.0	İdman məşğələləri zamanı
W64.0.1	Asudə vaxtda məşğələlər zamanı
W64.0.2	Gəlir əldə etmək üçün iş zamanı
W64.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.1.0	İdman məşğələləri zamanı
W64.1.1	Asudə vaxtda məşğələlər zamanı
W64.1.2	Gəlir əldə etmək üçün iş zamanı
W64.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.2.0	İdman məşğələləri zamanı
W64.2.1	Asudə vaxtda məşğələlər zamanı
W64.2.2	Gəlir əldə etmək üçün iş zamanı
W64.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.3.0	İdman məşğələləri zamanı
W64.3.1	Asudə vaxtda məşğələlər zamanı
W64.3.2	Gəlir əldə etmək üçün iş zamanı
W64.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.4.0	İdman məşğələləri zamanı
W64.4.1	Asudə vaxtda məşğələlər zamanı
W64.4.2	Gəlir əldə etmək üçün iş zamanı
W64.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.5.0	İdman məşğələləri zamanı
W64.5.1	Asudə vaxtda məşğələlər zamanı
W64.5.2	Gəlir əldə etmək üçün iş zamanı
W64.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.6.0	İdman məşğələləri zamanı
W64.6.1	Asudə vaxtda məşğələlər zamanı
W64.6.2	Gəlir əldə etmək üçün iş zamanı
W64.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.7.0	İdman məşğələləri zamanı
W64.7.1	Asudə vaxtda məşğələlər zamanı
W64.7.2	Gəlir əldə etmək üçün iş zamanı
W64.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.8.0	İdman məşğələləri zamanı
W64.8.1	Asudə vaxtda məşğələlər zamanı
W64.8.2	Gəlir əldə etmək üçün iş zamanı
W64.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W64.9.0	İdman məşğələləri zamanı
W64.9.1	Asudə vaxtda məşğələlər zamanı
W64.9.2	Gəlir əldə etmək üçün iş zamanı
W64.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W64.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W64.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W64.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65	Vanna qəbul edərkən boğulma və suda batma
W65.0.0	İdman məşğələləri zamanı
W65.0.1	Asudə vaxtda məşğələlər zamanı
W65.0.2	Gəlir əldə etmək üçün iş zamanı
W65.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.1.0	İdman məşğələləri zamanı
W65.1.1	Asudə vaxtda məşğələlər zamanı
W65.1.2	Gəlir əldə etmək üçün iş zamanı
W65.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.2.0	İdman məşğələləri zamanı
W65.2.1	Asudə vaxtda məşğələlər zamanı
W65.2.2	Gəlir əldə etmək üçün iş zamanı
W65.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.3.0	İdman məşğələləri zamanı
W65.3.1	Asudə vaxtda məşğələlər zamanı
W65.3.2	Gəlir əldə etmək üçün iş zamanı
W65.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.4.0	İdman məşğələləri zamanı
W65.4.1	Asudə vaxtda məşğələlər zamanı
W65.4.2	Gəlir əldə etmək üçün iş zamanı
W65.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.5.0	İdman məşğələləri zamanı
W65.5.1	Asudə vaxtda məşğələlər zamanı
W65.5.2	Gəlir əldə etmək üçün iş zamanı
W65.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.6.0	İdman məşğələləri zamanı
W65.6.1	Asudə vaxtda məşğələlər zamanı
W65.6.2	Gəlir əldə etmək üçün iş zamanı
W65.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.7.0	İdman məşğələləri zamanı
W65.7.1	Asudə vaxtda məşğələlər zamanı
W65.7.2	Gəlir əldə etmək üçün iş zamanı
W65.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.8.0	İdman məşğələləri zamanı
W65.8.1	Asudə vaxtda məşğələlər zamanı
W65.8.2	Gəlir əldə etmək üçün iş zamanı
W65.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W65.9.0	İdman məşğələləri zamanı
W65.9.1	Asudə vaxtda məşğələlər zamanı
W65.9.2	Gəlir əldə etmək üçün iş zamanı
W65.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W65.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W65.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W65.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66	Vannaya yıxılma nəticəsində suda batma və boğulma
W66.0.0	İdman məşğələləri zamanı
W66.0.1	Asudə vaxtda məşğələlər zamanı
W66.0.2	Gəlir əldə etmək üçün iş zamanı
W66.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.1.0	İdman məşğələləri zamanı
W66.1.1	Asudə vaxtda məşğələlər zamanı
W66.1.2	Gəlir əldə etmək üçün iş zamanı
W66.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.2.0	İdman məşğələləri zamanı
W66.2.1	Asudə vaxtda məşğələlər zamanı
W66.2.2	Gəlir əldə etmək üçün iş zamanı
W66.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.3.0	İdman məşğələləri zamanı
W66.3.1	Asudə vaxtda məşğələlər zamanı
W66.3.2	Gəlir əldə etmək üçün iş zamanı
W66.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.4.0	İdman məşğələləri zamanı
W66.4.1	Asudə vaxtda məşğələlər zamanı
W66.4.2	Gəlir əldə etmək üçün iş zamanı
W66.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.5.0	İdman məşğələləri zamanı
W66.5.1	Asudə vaxtda məşğələlər zamanı
W66.5.2	Gəlir əldə etmək üçün iş zamanı
W66.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.6.0	İdman məşğələləri zamanı
W66.6.1	Asudə vaxtda məşğələlər zamanı
W66.6.2	Gəlir əldə etmək üçün iş zamanı
W66.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.7.0	İdman məşğələləri zamanı
W66.7.1	Asudə vaxtda məşğələlər zamanı
W66.7.2	Gəlir əldə etmək üçün iş zamanı
W66.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.8.0	İdman məşğələləri zamanı
W66.8.1	Asudə vaxtda məşğələlər zamanı
W66.8.2	Gəlir əldə etmək üçün iş zamanı
W66.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W66.9.0	İdman məşğələləri zamanı
W66.9.1	Asudə vaxtda məşğələlər zamanı
W66.9.2	Gəlir əldə etmək üçün iş zamanı
W66.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W66.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W66.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W66.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67	Üzgüçülük hovuzunda olarkən suda batma və boğulma
W67.0.0	İdman məşğələləri zamanı
W67.0.1	Asudə vaxtda məşğələlər zamanı
W67.0.2	Gəlir əldə etmək üçün iş zamanı
W67.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.1.0	İdman məşğələləri zamanı
W67.1.1	Asudə vaxtda məşğələlər zamanı
W67.1.2	Gəlir əldə etmək üçün iş zamanı
W67.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.2.0	İdman məşğələləri zamanı
W67.2.1	Asudə vaxtda məşğələlər zamanı
W67.2.2	Gəlir əldə etmək üçün iş zamanı
W67.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.3.0	İdman məşğələləri zamanı
W67.3.1	Asudə vaxtda məşğələlər zamanı
W67.3.2	Gəlir əldə etmək üçün iş zamanı
W67.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.4.0	İdman məşğələləri zamanı
W67.4.1	Asudə vaxtda məşğələlər zamanı
W67.4.2	Gəlir əldə etmək üçün iş zamanı
W67.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.5.0	İdman məşğələləri zamanı
W67.5.1	Asudə vaxtda məşğələlər zamanı
W67.5.2	Gəlir əldə etmək üçün iş zamanı
W67.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.6.0	İdman məşğələləri zamanı
W67.6.1	Asudə vaxtda məşğələlər zamanı
W67.6.2	Gəlir əldə etmək üçün iş zamanı
W67.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.7.0	İdman məşğələləri zamanı
W67.7.1	Asudə vaxtda məşğələlər zamanı
W67.7.2	Gəlir əldə etmək üçün iş zamanı
W67.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.8.0	İdman məşğələləri zamanı
W67.8.1	Asudə vaxtda məşğələlər zamanı
W67.8.2	Gəlir əldə etmək üçün iş zamanı
W67.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W67.9.0	İdman məşğələləri zamanı
W67.9.1	Asudə vaxtda məşğələlər zamanı
W67.9.2	Gəlir əldə etmək üçün iş zamanı
W67.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W67.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W67.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W67.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68	Üzgüçülük hovuzuna yıxılma nəticəsində suda batma və boğulma
W68.0.0	İdman məşğələləri zamanı
W68.0.1	Asudə vaxtda məşğələlər zamanı
W68.0.2	Gəlir əldə etmək üçün iş zamanı
W68.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.1.0	İdman məşğələləri zamanı
W68.1.1	Asudə vaxtda məşğələlər zamanı
W68.1.2	Gəlir əldə etmək üçün iş zamanı
W68.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.2.0	İdman məşğələləri zamanı
W68.2.1	Asudə vaxtda məşğələlər zamanı
W68.2.2	Gəlir əldə etmək üçün iş zamanı
W68.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.3.0	İdman məşğələləri zamanı
W68.3.1	Asudə vaxtda məşğələlər zamanı
W68.3.2	Gəlir əldə etmək üçün iş zamanı
W68.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.4.0	İdman məşğələləri zamanı
W68.4.1	Asudə vaxtda məşğələlər zamanı
W68.4.2	Gəlir əldə etmək üçün iş zamanı
W68.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.5.0	İdman məşğələləri zamanı
W68.5.1	Asudə vaxtda məşğələlər zamanı
W68.5.2	Gəlir əldə etmək üçün iş zamanı
W68.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.6.0	İdman məşğələləri zamanı
W68.6.1	Asudə vaxtda məşğələlər zamanı
W68.6.2	Gəlir əldə etmək üçün iş zamanı
W68.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.7.0	İdman məşğələləri zamanı
W68.7.1	Asudə vaxtda məşğələlər zamanı
W68.7.2	Gəlir əldə etmək üçün iş zamanı
W68.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.8.0	İdman məşğələləri zamanı
W68.8.1	Asudə vaxtda məşğələlər zamanı
W68.8.2	Gəlir əldə etmək üçün iş zamanı
